Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
293_S71_L001_clean_FINAL	2.862788646830192	71.02590064343335
293_S71_L001_merged	2.8622744713854193	71.04743244346474
294_S72_L001_clean_FINAL	1.1828864506914238	37.6900603778485
294_S72_L001_merged	1.1834165963796794	38.785440861610304
295_S73_L001_clean_FINAL	4.406815875220341	72.34122108861712
295_S73_L001_merged	4.398592450415867	72.27553849434861
296_S77_L001_clean_FINAL	2.8624957768973247	72.64350870726977
296_S77_L001_merged	2.859509710674071	72.59841070168441
297_S78_L001_clean_FINAL	2.0768025078369905	60.23667711598744
297_S78_L001_merged	2.0759890325107717	60.2804543674109
298_S79_L001_clean_FINAL	2.367235780873573	65.05858235197292
298_S79_L001_merged	2.3666337551985164	65.20809023726179
299_S80_L001_clean_FINAL	4.3421876397459975	77.65852785976209
299_S80_L001_merged	4.34141436710982	77.63601832197521
300_S81_L001_clean_FINAL	4.797565650378391	81.42820446956075
300_S81_L001_merged	4.79614412136536	81.44951011378
301_S82_L001_clean_FINAL	2.92548030273627	62.172520861634034
301_S82_L001_merged	2.914635911788834	62.20141871350671
