Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
293_S71_L001_clean_FINAL	(1, 41.952836659372245)	(2, 41.9658523042754)	(3, 41.975879413397784)	(4, 41.93444818238234)	(5, 41.91930953391906)	(6, 41.913054838815036)	(7, 41.893637521638304)	(8, 41.89306594375674)	(9, 41.927981186922295)	(10, 41.956524153248196)	(15, 41.98553418035731)	(20, 41.982424796681585)	(25, 41.97820491883594)	(30, 41.96499330437339)	(35, 41.9749681549466)	(40, 41.98380638207532)	(45, 41.9928079171702)	(50, 41.99168716278992)	(55, 41.992245631226524)	(60, 41.98993957210517)	(65, 41.9928237791932)	(70, 41.98388371713212)	(75, 41.990648374979585)	(80, 41.98152212967499)	(85, 41.984422668626486)	(90, 41.98917850726768)	(95, 41.98523926179978)	(100, 41.9565343785726)	(105, 41.98359300996243)	(110, 41.98292320687061)	(115, 41.979882175670625)	(120, 41.96664393841415)	(125, 41.862555066079295)	(130, 41.865198237885465)	(135, 41.80720626149745)	(140, 41.802083333333336)									
293_S71_L001_merged	(1, 41.952208343538246)	(2, 41.96535227365499)	(3, 41.97665115519634)	(4, 41.932663890929874)	(5, 41.91919340354315)	(6, 41.91182953710507)	(7, 41.89063597028329)	(8, 41.89248101885868)	(9, 41.92660625357172)	(10, 41.95594742427953)	(15, 41.98533431300515)	(20, 41.98214384847743)	(25, 41.97792146297657)	(30, 41.96416033961957)	(35, 41.97419544452608)	(40, 41.98347925501539)	(45, 41.99273724773038)	(50, 41.99168571615179)	(55, 41.991868591208934)	(60, 41.990147606296134)	(65, 41.99267181555443)	(70, 41.98352660569509)	(75, 41.99046017178876)	(80, 41.98157679871975)	(85, 41.98448675658905)	(90, 41.98915052745028)	(95, 41.9848590744309)	(100, 41.95604689898429)	(105, 41.98331428198177)	(110, 41.98287337927431)	(115, 41.97894771220484)	(120, 41.97970214572651)	(125, 41.97899996734054)	(130, 41.97214755784901)	(135, 41.95402809118774)	(140, 41.91705612209551)									
294_S72_L001_clean_FINAL	(1, 41.9599688372395)	(2, 41.962812439135234)	(3, 41.968188015321694)	(4, 41.957294033629815)	(5, 41.94082970849834)	(6, 41.92145685905343)	(7, 41.863766798675584)	(8, 41.841848990456405)	(9, 41.880438875543724)	(10, 41.950575861845095)	(15, 41.9833720703759)	(20, 41.973550607024606)	(25, 41.97245471661365)	(30, 41.96044406933714)	(35, 41.975957930273324)	(40, 41.978705446990844)	(45, 41.98979419593586)	(50, 41.99039117990666)	(55, 41.992331065288525)	(60, 41.97853061860489)	(65, 41.98657352100971)	(70, 41.985672362748666)	(75, 41.98825637562977)	(80, 41.90352412611021)	(85, 41.976832181997615)	(90, 41.96962291590921)	(95, 41.9853347530255)	(100, 41.96051245748349)	(105, 41.980534068778674)	(110, 41.9708698344679)	(115, 41.97697468553856)	(120, 41.915495274828764)	(125, 41.74631459656728)	(130, 41.76029411764706)	(135, 41.74709630516062)	(140, 41.75744255744256)	(145, 42.0)	(150, 40.2)	(155, 38.4)	(160, 38.0)	(165, 38.25)				
294_S72_L001_merged	(1, 41.959618503860376)	(2, 41.96345941737494)	(3, 41.966638551871796)	(4, 41.95711412444041)	(5, 41.94010251086745)	(6, 41.92023616427691)	(7, 41.859845584895865)	(8, 41.84221112048271)	(9, 41.87982871601894)	(10, 41.94985272172842)	(15, 41.9831908129501)	(20, 41.97274768052942)	(25, 41.9714007655875)	(30, 41.95931226886395)	(35, 41.97524671303309)	(40, 41.97828298557043)	(45, 41.98928423128828)	(50, 41.99040278210319)	(55, 41.992144191840545)	(60, 41.98116370808678)	(65, 41.98626192283547)	(70, 41.98593478349935)	(75, 41.98776479750778)	(80, 41.89980789200415)	(85, 41.975822949117344)	(90, 41.968546209761165)	(95, 41.98487279335411)	(100, 41.9602466251298)	(105, 41.98025700934579)	(110, 41.97082554517134)	(115, 41.97647715472482)	(120, 41.97685077133825)	(125, 41.97895479378045)	(130, 41.97136576268364)	(135, 41.965489792849965)	(140, 41.93130861793511)	(145, 41.839999999999996)	(150, 40.2)	(155, 38.4)	(160, 38.0)	(165, 38.2)	(170, 37.8)	(175, 36.4)	(180, 35.4)	(185, 32.666666666666664)
295_S73_L001_clean_FINAL	(1, 41.94124245499706)	(2, 41.9560386731478)	(3, 41.96116660434806)	(4, 41.89183270124459)	(5, 41.88643769029432)	(6, 41.88179050264409)	(7, 41.92249345654612)	(8, 41.93851824154692)	(9, 41.964852304898244)	(10, 41.9379092997169)	(15, 41.981774477859084)	(20, 41.97645424923883)	(25, 41.96948880935848)	(30, 41.96041878104802)	(35, 41.96737353773837)	(40, 41.98274664814914)	(45, 41.991325249719566)	(50, 41.9860584370493)	(55, 41.99279952993964)	(60, 41.988707868169435)	(65, 41.9920410234496)	(70, 41.9861973185193)	(75, 41.98833395651941)	(80, 41.96654024891833)	(85, 41.97988355322899)	(90, 41.984381176219216)	(95, 41.97926392820896)	(100, 41.97881523422895)	(105, 41.982244538219106)	(110, 41.98099460498905)	(115, 41.97237931831451)	(120, 41.82685887418786)	(125, 41.77272727272727)	(130, 41.54242424242424)	(135, 41.71915933528837)	(140, 42.0)	(145, 42.0)								
295_S73_L001_merged	(1, 41.93596715717637)	(2, 41.953988057155044)	(3, 41.95942631691192)	(4, 41.88371721049264)	(5, 41.88275751759437)	(6, 41.87886542972915)	(7, 41.92253145660055)	(8, 41.937566645340155)	(9, 41.96257197696737)	(10, 41.93532736191086)	(15, 41.97856685860525)	(20, 41.97314992535722)	(25, 41.965930902111324)	(30, 41.95754958413308)	(35, 41.964523352527195)	(40, 41.98109001530273)	(45, 41.990500350113244)	(50, 41.98614284189175)	(55, 41.99214208971377)	(60, 41.98985302225283)	(65, 41.991518906216626)	(70, 41.98603930784021)	(75, 41.98857081820124)	(80, 41.965797906430254)	(85, 41.97984405041658)	(90, 41.98441572313608)	(95, 41.9775368511002)	(100, 41.98033539841914)	(105, 41.98300576799829)	(110, 41.98036744285409)	(115, 41.970818201239055)	(120, 41.97719504379406)	(125, 41.97345652638325)	(130, 41.97200365991957)	(135, 41.94756917533585)	(140, 41.926313853992525)	(145, 42.0)								
296_S77_L001_clean_FINAL	(1, 41.95260910961639)	(2, 41.95042845296231)	(3, 41.96550876869683)	(4, 41.918609293897234)	(5, 41.91028594244295)	(6, 41.885930157560125)	(7, 41.89290211615836)	(8, 41.89901409748457)	(9, 41.93190822813968)	(10, 41.94494916920053)	(15, 41.98046623053533)	(20, 41.98272059952701)	(25, 41.97266500813907)	(30, 41.96232071009552)	(35, 41.97286157437268)	(40, 41.98448969562948)	(45, 41.99359316932339)	(50, 41.989907552443256)	(55, 41.99305875487577)	(60, 41.99030068491047)	(65, 41.99162136429252)	(70, 41.982382751313004)	(75, 41.989981264780866)	(80, 41.979329831997305)	(85, 41.98335329709144)	(90, 41.990073405202864)	(95, 41.98080407874935)	(100, 41.960821892564276)	(105, 41.98552166835591)	(110, 41.9853189594275)	(115, 41.976968633910566)	(120, 41.87490239551478)	(125, 41.99166666666666)	(130, 41.8375)	(135, 41.75861857440805)	(140, 42.0)	(145, 42.0)	(150, 42.0)							
296_S77_L001_merged	(1, 41.94437455895438)	(2, 41.94636885220753)	(3, 41.96336636701132)	(4, 41.91375448715982)	(5, 41.90948976774154)	(6, 41.88316509679993)	(7, 41.889945693860646)	(8, 41.89519221918817)	(9, 41.93207130365416)	(10, 41.94314116528089)	(15, 41.979167305863214)	(20, 41.98068296873562)	(25, 41.97136808517166)	(30, 41.959887092320436)	(35, 41.97132962765797)	(40, 41.98366278808893)	(45, 41.99322672358393)	(50, 41.99025423728814)	(55, 41.99255094105)	(60, 41.990345805016496)	(65, 41.99178284099982)	(70, 41.981551311183445)	(75, 41.99030891113431)	(80, 41.97940183012959)	(85, 41.98317877540994)	(90, 41.98962721857151)	(95, 41.98075293250629)	(100, 41.96064607259105)	(105, 41.985266842719405)	(110, 41.98569673893017)	(115, 41.97486949579316)	(120, 41.97693913897931)	(125, 41.98370079223731)	(130, 41.97195832231154)	(135, 41.95265745559078)	(140, 41.95771440787555)	(145, 42.0)	(150, 42.0)							
297_S78_L001_clean_FINAL	(1, 41.923119122257056)	(2, 41.947742946708466)	(3, 41.95730407523511)	(4, 41.93575235109718)	(5, 41.91772727272727)	(6, 41.91051724137931)	(7, 41.829106583072104)	(8, 41.84871473354232)	(9, 41.880282131661446)	(10, 41.93012225705329)	(15, 41.97837304075235)	(20, 41.970949843260186)	(25, 41.969009404388714)	(30, 41.95418808777429)	(35, 41.96298746081504)	(40, 41.97973354231975)	(45, 41.985727272727274)	(50, 41.98484247346594)	(55, 41.988881085843914)	(60, 41.98611520491675)	(65, 41.98800915618827)	(70, 41.96852993340365)	(75, 41.981439322671676)	(80, 41.972279390943854)	(85, 41.97116605779332)	(90, 41.98546543533137)	(95, 41.97980212922748)	(100, 41.94333558067703)	(105, 41.97922932794442)	(110, 41.9749742058939)	(115, 41.9736301258255)	(120, 41.91825700538072)	(125, 41.75538545860834)	(130, 41.64233209903566)	(135, 41.7244978831316)	(140, 41.92663043478261)									
297_S78_L001_merged	(1, 41.92040736388562)	(2, 41.946980023501766)	(3, 41.95531531531532)	(4, 41.93690560125343)	(5, 41.918777908343124)	(6, 41.90972189580885)	(7, 41.825616921269095)	(8, 41.84651782216999)	(9, 41.88067371719546)	(10, 41.929369369369375)	(15, 41.9785757931845)	(20, 41.96968272620447)	(25, 41.968526439482964)	(30, 41.953344300822565)	(35, 41.962043086564826)	(40, 41.97993548557986)	(45, 41.98530940363486)	(50, 41.984904932434105)	(55, 41.98888157688572)	(60, 41.98653416706079)	(65, 41.98797858586397)	(70, 41.96762025714727)	(75, 41.98155131919971)	(80, 41.97176950142936)	(85, 41.97091667189166)	(90, 41.985425234829975)	(95, 41.9788290618387)	(100, 41.943440708519475)	(105, 41.978747550748494)	(110, 41.9734618700525)	(115, 41.97059017164354)	(120, 41.968022572301905)	(125, 41.9692343931377)	(130, 41.95475070665254)	(135, 41.95220345788938)	(140, 41.919381149918095)	(145, 41.47728563430707)								
