Sample	0	1	2	3	4	5
293_S71_L001_clean_FINAL	(40.0, 94.0)	(41.0, 5501.0)	(42.0, 55639.0)			
293_S71_L001_merged	(39.0, 2.0)	(40.0, 101.0)	(41.0, 6225.0)	(42.0, 54917.0)		
294_S72_L001_clean_FINAL	(39.0, 1.0)	(40.0, 148.0)	(41.0, 8613.0)	(42.0, 68253.0)		
294_S72_L001_merged	(39.0, 2.0)	(40.0, 168.0)	(41.0, 9291.0)	(42.0, 67604.0)		
295_S73_L001_clean_FINAL	(40.0, 42.0)	(41.0, 1705.0)	(42.0, 16974.0)			
295_S73_L001_merged	(38.0, 2.0)	(39.0, 7.0)	(40.0, 59.0)	(41.0, 1915.0)	(42.0, 16773.0)	
296_S77_L001_clean_FINAL	(40.0, 59.0)	(41.0, 2882.0)	(42.0, 29618.0)			
296_S77_L001_merged	(38.0, 1.0)	(39.0, 8.0)	(40.0, 75.0)	(41.0, 3275.0)	(42.0, 29234.0)	
297_S78_L001_clean_FINAL	(39.0, 1.0)	(40.0, 149.0)	(41.0, 7697.0)	(42.0, 55953.0)		
297_S78_L001_merged	(39.0, 3.0)	(40.0, 152.0)	(41.0, 8612.0)	(42.0, 55058.0)		
298_S79_L001_clean_FINAL	(40.0, 67.0)	(41.0, 6289.0)	(42.0, 60473.0)			
298_S79_L001_merged	(40.0, 75.0)	(41.0, 6947.0)	(42.0, 59824.0)			
299_S80_L001_clean_FINAL	(39.0, 2.0)	(40.0, 84.0)	(41.0, 3951.0)	(42.0, 40687.0)		
299_S80_L001_merged	(39.0, 1.0)	(40.0, 97.0)	(41.0, 4440.0)	(42.0, 40217.0)		
300_S81_L001_clean_FINAL	(40.0, 82.0)	(41.0, 4260.0)	(42.0, 46267.0)			
300_S81_L001_merged	(39.0, 2.0)	(40.0, 80.0)	(41.0, 4815.0)	(42.0, 45727.0)		
301_S82_L001_clean_FINAL	(39.0, 6.0)	(40.0, 78.0)	(41.0, 2363.0)	(42.0, 18165.0)		
301_S82_L001_merged	(37.0, 1.0)	(38.0, 0.0)	(39.0, 4.0)	(40.0, 97.0)	(41.0, 2636.0)	(42.0, 17985.0)
