Sample	Unique Reads	Duplicate Reads
293_S71_L001_clean_FINAL	3799.0	57435.0
293_S71_L001_merged	3785.0	57460.0
294_S72_L001_clean_FINAL	8907.0	68108.0
294_S72_L001_merged	8831.0	68234.0
295_S73_L001_clean_FINAL	2133.0	16588.0
295_S73_L001_merged	2142.0	16614.0
296_S77_L001_clean_FINAL	1928.0	30631.0
296_S77_L001_merged	1946.0	30647.0
297_S78_L001_clean_FINAL	6592.0	57208.0
297_S78_L001_merged	6548.0	57277.0
298_S79_L001_clean_FINAL	5509.0	61320.0
298_S79_L001_merged	5466.0	61380.0
299_S80_L001_clean_FINAL	2546.0	42178.0
299_S80_L001_merged	2553.0	42202.0
300_S81_L001_clean_FINAL	2578.0	48031.0
300_S81_L001_merged	2568.0	48056.0
301_S82_L001_clean_FINAL	2482.0	18130.0
301_S82_L001_merged	2520.0	18203.0
