Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
293_S71_L001_clean_FINAL	(1.0, 4.112094587974002)	(2.0, 1.2607374987751903)	(3.0, 0.6369010680340987)	(4.0, 0.3266159323251788)	(5.0, 0.17963876277884835)	(6.0, 0.1665741254858412)	(7.0, 0.26292582552176896)	(8.0, 0.31355129503217166)	(9.0, 0.3380474899565601)	('>10', 14.753241663128328)	('>50', 14.456021164712416)	('>100', 40.25051442009342)	('>500', 15.911095143221084)	('>1k', 7.032041022961099)	('>5k', 0.0)	('>10k+', 0.0)
293_S71_L001_merged	(1.0, 4.103192097314066)	(2.0, 1.2278553351293984)	(3.0, 0.6318883174136665)	(4.0, 0.3461507061800963)	(5.0, 0.1877704302392032)	(6.0, 0.16654420769042372)	(7.0, 0.26287860233488447)	(8.0, 0.31349497918197405)	(9.0, 0.33798677443056574)	('>10', 14.752224671401748)	('>50', 14.138297003837048)	('>100', 40.43105559637522)	('>500', 16.068250469426076)	('>1k', 7.032410809045636)	('>5k', 0.0)	('>10k+', 0.0)
294_S72_L001_clean_FINAL	(1.0, 6.896059209244952)	(2.0, 2.251509446211777)	(3.0, 1.406219567616698)	(4.0, 1.2880607673829774)	(5.0, 1.2205414529637084)	(6.0, 0.9504641952866325)	(7.0, 1.3451924949685126)	(8.0, 1.599688372394988)	(9.0, 1.1802895539829903)	('>10', 30.803090307083036)	('>50', 18.431474388106214)	('>100', 27.28299681880153)	('>500', 5.344413425955983)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
294_S72_L001_merged	(1.0, 6.8383831830273145)	(2.0, 2.231882177382729)	(3.0, 1.3741646661908777)	(4.0, 1.2768442224096541)	(5.0, 1.2327256212288327)	(6.0, 0.9187049892947512)	(7.0, 1.3534029715175502)	(8.0, 1.577888795172906)	(9.0, 1.1211315123596963)	('>10', 30.67280866800753)	('>50', 17.896580808408487)	('>100', 28.161941218451958)	('>500', 5.34354116654772)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
295_S73_L001_clean_FINAL	(1.0, 7.1630788953581535)	(2.0, 2.553282410127664)	(3.0, 1.5223545750761176)	(4.0, 1.1965172800598258)	(5.0, 1.0950269750547514)	(6.0, 0.5768922600288445)	(7.0, 0.8226056300411302)	(8.0, 0.7264569200363229)	(9.0, 0.7211153250360558)	('>10', 25.650339191282516)	('>50', 17.274718230863737)	('>100', 32.25255061161263)	('>500', 8.445061695422252)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
295_S73_L001_merged	(1.0, 7.229686500319897)	(2.0, 2.5165280443591382)	(3.0, 1.4395393474088292)	(4.0, 1.1942844956280656)	(5.0, 1.0663254425250588)	(6.0, 0.6397952655150352)	(7.0, 0.8210705907442951)	(8.0, 0.7677543186180422)	(9.0, 0.7677543186180422)	('>10', 25.62380038387716)	('>50', 16.28812113457027)	('>100', 33.21603753465558)	('>500', 8.429302623160588)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
296_S77_L001_clean_FINAL	(1.0, 3.47676525691821)	(2.0, 0.5466998372185878)	(3.0, 0.35013360361190454)	(4.0, 0.2948493504100249)	(5.0, 0.4299886360146196)	(6.0, 0.5344144476181701)	(7.0, 0.49448693141681255)	(8.0, 0.5405571424183789)	(9.0, 0.6910531650234958)	('>10', 25.65189348567217)	('>50', 19.23584876685402)	('>100', 38.67440646211493)	('>500', 9.078902914708681)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
296_S77_L001_merged	(1.0, 3.543705703678704)	(2.0, 0.52772067621882)	(3.0, 0.34976835516828764)	(4.0, 0.29454177277329485)	(5.0, 0.42954008529438836)	(6.0, 0.5338569631515969)	(7.0, 0.515448102353266)	(8.0, 0.5399932500843739)	(9.0, 0.6903322799374099)	('>10', 25.625134231276654)	('>50', 18.596017549780626)	('>100', 39.2845089436382)	('>500', 9.069432086644373)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
297_S78_L001_clean_FINAL	(1.0, 6.724137931034482)	(2.0, 2.344827586206897)	(3.0, 1.457680250783699)	(4.0, 0.9592476489028213)	(5.0, 0.7601880877742947)	(6.0, 0.6300940438871474)	(7.0, 0.658307210031348)	(8.0, 0.6269592476489028)	(9.0, 0.5360501567398119)	('>10', 19.565830721003135)	('>50', 14.094043887147336)	('>100', 38.068965517241374)	('>500', 6.213166144200627)	('>1k', 7.360501567398119)	('>5k', 0.0)	('>10k+', 0.0)
297_S78_L001_merged	(1.0, 6.666666666666667)	(2.0, 2.3313748531139837)	(3.0, 1.4336075205640424)	(4.0, 0.990207598903251)	(5.0, 0.7520564042303173)	(6.0, 0.6392479435957696)	(7.0, 0.6580493537015276)	(8.0, 0.6016451233842538)	(9.0, 0.5076380728554641)	('>10', 19.64120642381512)	('>50', 13.944379161770465)	('>100', 37.42734038386212)	('>500', 7.047395221308264)	('>1k', 7.359185272228751)	('>5k', 0.0)	('>10k+', 0.0)
