Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
293_S71_L001_clean_FINAL	293_S71_L001_clean_FINAL.fastq	Conventional base calls	Sanger / Illumina 1.9	61234.0	7.3 Mbp	0.0	50-142	41.0	6.204069634516772	119.50346212888265	118	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
293_S71_L001_merged	293_S71_L001_merged.fastq	Conventional base calls	Sanger / Illumina 1.9	61245.0	8.5 Mbp	0.0	41-143	41.0	6.180096334394644	139.17601436851987	137	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
294_S72_L001_clean_FINAL	294_S72_L001_clean_FINAL.fastq	Conventional base calls	Sanger / Illumina 1.9	77015.0	9.2 Mbp	0.0	50-168	39.0	11.565279491008246	119.95760566123482	122	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
294_S72_L001_merged	294_S72_L001_merged.fastq	Conventional base calls	Sanger / Illumina 1.9	77065.0	10.7 Mbp	0.0	37-187	40.0	11.459157853759812	139.66955816518524	142	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
295_S73_L001_clean_FINAL	295_S73_L001_clean_FINAL.fastq	Conventional base calls	Sanger / Illumina 1.9	18721.0	2.2 Mbp	0.0	114-147	42.0	11.39362213556968	119.12098712675605	119	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
295_S73_L001_merged	295_S73_L001_merged.fastq	Conventional base calls	Sanger / Illumina 1.9	18756.0	2.6 Mbp	0.0	41-147	42.0	11.42034548944338	138.48147259543612	137	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
296_S77_L001_clean_FINAL	296_S77_L001_clean_FINAL.fastq	Conventional base calls	Sanger / Illumina 1.9	32559.0	3.8 Mbp	0.0	114-150	41.0	5.918486440001228	119.40139439171965	119	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
296_S77_L001_merged	296_S77_L001_merged.fastq	Conventional base calls	Sanger / Illumina 1.9	32593.0	4.5 Mbp	0.0	34-150	41.0	5.970607185591998	138.98826435124107	137	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
297_S78_L001_clean_FINAL	297_S78_L001_clean_FINAL.fastq	Conventional base calls	Sanger / Illumina 1.9	63800.0	7.6 Mbp	0.0	50-143	41.0	10.332288401253917	119.27595611285267	120	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
297_S78_L001_merged	297_S78_L001_merged.fastq	Conventional base calls	Sanger / Illumina 1.9	63825.0	8.8 Mbp	0.0	40-149	41.0	10.25930278104191	139.11515863689777	137	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
298_S79_L001_clean_FINAL	298_S79_L001_clean_FINAL.fastq	Conventional base calls	Sanger / Illumina 1.9	66829.0	7.9 Mbp	0.0	102-141	40.0	8.243427254634964	119.11747893878406	119	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
298_S79_L001_merged	298_S79_L001_merged.fastq	Conventional base calls	Sanger / Illumina 1.9	66846.0	9.2 Mbp	0.0	122-143	41.0	8.17700385961763	138.95428297878706	139	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
299_S80_L001_clean_FINAL	299_S80_L001_clean_FINAL.fastq	Conventional base calls	Sanger / Illumina 1.9	44724.0	5.3 Mbp	0.0	50-142	42.0	5.692692961273589	119.25641713621322	118	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
299_S80_L001_merged	299_S80_L001_merged.fastq	Conventional base calls	Sanger / Illumina 1.9	44755.0	6.2 Mbp	0.0	39-144	42.0	5.704390570885934	138.64004021896994	137	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
300_S81_L001_clean_FINAL	300_S81_L001_clean_FINAL.fastq	Conventional base calls	Sanger / Illumina 1.9	50609.0	6 Mbp	0.0	114-142	42.0	5.0939556205418	119.13096484814953	119	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
300_S81_L001_merged	300_S81_L001_merged.fastq	Conventional base calls	Sanger / Illumina 1.9	50624.0	7 Mbp	0.0	133-148	42.0	5.072692793931732	138.96452275600507	139	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
301_S82_L001_clean_FINAL	301_S82_L001_clean_FINAL.fastq	Conventional base calls	Sanger / Illumina 1.9	20612.0	2.4 Mbp	0.0	50-150	48.0	12.0415292062876	116.70446827091016	117	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
301_S82_L001_merged	301_S82_L001_merged.fastq	Conventional base calls	Sanger / Illumina 1.9	20723.0	2.8 Mbp	0.0	38-170	47.0	12.160401486271292	136.14121990059354	137	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
