Sample	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
293_S71_L001_clean_FINAL		93.79593036548323	41.0	119.50346212888265	118	45.45454545454545	0.061234
293_S71_L001_merged	14.23967455950054	93.81990366560535	41.0	139.17601436851987	137	36.36363636363637	0.061244999999999994
294_S72_L001_clean_FINAL		88.43472050899176	39.0	119.95760566123482	122	45.45454545454545	0.077015
294_S72_L001_merged	14.230711710327542	88.54084214624018	40.0	139.66955816518524	142	45.45454545454545	0.077065
295_S73_L001_clean_FINAL		88.60637786443031	42.0	119.12098712675605	119	36.36363636363637	0.018720999999999998
295_S73_L001_merged	14.338160599842304	88.57965451055662	42.0	138.48147259543612	137	36.36363636363637	0.018756
296_S77_L001_clean_FINAL		94.08151355999877	41.0	119.40139439171965	119	45.45454545454545	0.032559
296_S77_L001_merged	14.264538019901657	94.029392814408	41.0	138.98826435124107	137	45.45454545454545	0.032593
297_S78_L001_clean_FINAL		89.66771159874608	41.0	119.27595611285267	120	45.45454545454545	0.0638
297_S78_L001_merged	14.2585041277187	89.74069721895809	41.0	139.11515863689777	137	45.45454545454545	0.06382499999999999
298_S79_L001_clean_FINAL		91.75657274536503	40.0	119.11747893878406	119	36.36363636363637	0.066829
298_S79_L001_merged	14.275594286205212	91.82299614038237	41.0	138.95428297878706	139	27.27272727272727	0.066846
299_S80_L001_clean_FINAL		94.3073070387264	42.0	119.25641713621322	118	36.36363636363637	0.044724
299_S80_L001_merged	14.299430573073883	94.29560942911407	42.0	138.64004021896994	137	27.27272727272727	0.044754999999999996
300_S81_L001_clean_FINAL		94.9060443794582	42.0	119.13096484814953	119	36.36363636363637	0.050608999999999994
300_S81_L001_merged	14.272076236613248	94.92730720606826	42.0	138.96452275600507	139	36.36363636363637	0.050623999999999995
301_S82_L001_clean_FINAL		87.9584707937124	48.0	116.70446827091016	117	45.45454545454545	0.020612
301_S82_L001_merged	14.713267098079596	87.8395985137287	47.0	136.14121990059354	137	45.45454545454545	0.020723
