Module	Section	Sample Name	Source
Cutadapt	all_sections	293_S71_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/logs/293_S71_L001_cutadapt.txt
Cutadapt	all_sections	294_S72_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/logs/294_S72_L001_cutadapt.txt
Cutadapt	all_sections	295_S73_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/logs/295_S73_L001_cutadapt.txt
Cutadapt	all_sections	296_S77_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/logs/296_S77_L001_cutadapt.txt
Cutadapt	all_sections	297_S78_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/logs/297_S78_L001_cutadapt.txt
Cutadapt	all_sections	298_S79_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/logs/298_S79_L001_cutadapt.txt
Cutadapt	all_sections	299_S80_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/logs/299_S80_L001_cutadapt.txt
Cutadapt	all_sections	300_S81_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/logs/300_S81_L001_cutadapt.txt
Cutadapt	all_sections	301_S82_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/logs/301_S82_L001_cutadapt.txt
FastQC	all_sections	293_S71_L001_clean_FINAL	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/293_S71_L001_clean_FINAL_fastqc.zip
FastQC	all_sections	293_S71_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/293_S71_L001_merged_fastqc.zip
FastQC	all_sections	294_S72_L001_clean_FINAL	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/294_S72_L001_clean_FINAL_fastqc.zip
FastQC	all_sections	294_S72_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/294_S72_L001_merged_fastqc.zip
FastQC	all_sections	295_S73_L001_clean_FINAL	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/295_S73_L001_clean_FINAL_fastqc.zip
FastQC	all_sections	295_S73_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/295_S73_L001_merged_fastqc.zip
FastQC	all_sections	296_S77_L001_clean_FINAL	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/296_S77_L001_clean_FINAL_fastqc.zip
FastQC	all_sections	296_S77_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/296_S77_L001_merged_fastqc.zip
FastQC	all_sections	297_S78_L001_clean_FINAL	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/297_S78_L001_clean_FINAL_fastqc.zip
FastQC	all_sections	297_S78_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/297_S78_L001_merged_fastqc.zip
FastQC	all_sections	298_S79_L001_clean_FINAL	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/298_S79_L001_clean_FINAL_fastqc.zip
FastQC	all_sections	298_S79_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/298_S79_L001_merged_fastqc.zip
FastQC	all_sections	299_S80_L001_clean_FINAL	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/299_S80_L001_clean_FINAL_fastqc.zip
FastQC	all_sections	299_S80_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/299_S80_L001_merged_fastqc.zip
FastQC	all_sections	300_S81_L001_clean_FINAL	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/300_S81_L001_clean_FINAL_fastqc.zip
FastQC	all_sections	300_S81_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/300_S81_L001_merged_fastqc.zip
FastQC	all_sections	301_S82_L001_clean_FINAL	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/301_S82_L001_clean_FINAL_fastqc.zip
FastQC	all_sections	301_S82_L001_merged	/Users/marnavisagie/Documents/DNA_trail_02/output/fastqc/301_S82_L001_merged_fastqc.zip
